Reference,Qty., Value,SMD/TH, Footprint,Shop URL
"P1, P4",2,CONN_02X10,COM,Pin_Header_Socker Straight_2x10,http://akizukidenshi.com/catalog/g/gC-00083/
P2,1,CONN_02X05,COM,IDC-Header_2x05_Pitch2.54mm_Straight,http://akizukidenshi.com/catalog/g/gC-12664/
D1,1,LED,COM,LEDs:LED-3MM,
D2,1,LED,COM,LEDs:LED-3MM,
D3,1,LED,COM,LEDs:LED-3MM,
D4,1,LED,COM,LEDs:LED-3MM,
C1ÅAC2,2,100u,COM,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear,http://akizukidenshi.com/catalog/g/gP-05002/
P3,1,CONN_01X02,NOPOP,fdsp_pinheader:Pin_Header_Straight_1x02,Directly Jumper wire conncetion to the Ez-USB FX2LP Board 5V
"Q3, Q4",2,2N7002,SMD,digikey-footprints:SOT-23-3,http://akizukidenshi.com/catalog/g/gI-04256/
R10,1,51R,SMD,Resistors_SMD:R_0805_HandSoldering,
"R11, R13, R16, R17, R18",5,470R,SMD,Resistors_SMD:R_0805_HandSoldering,
R14,1,1M,SMD,Resistors_SMD:R_0805_HandSoldering,
"R12, R15",2,10k,SMD,Resistors_SMD:R_0805_HandSoldering,
,,,,,
10P IDC Cable Assy.,1,-,COM,Programming Cable,http://akizukidenshi.com/catalog/g/gC-03796/
Mini USB Cable,1,-,COM,USB-A to mini-USB,http://akizukidenshi.com/catalog/g/gC-07606/
Ez-USB FX2LP Board,1,-,COM,Various Choice,https://www.amazon.co.jp/SODIAL-%E9%96%8B%E7%99%BA%E3%83%9C%E3%83%BC%E3%83%89USB2-0-EZ-USB-FX2LP-CY7C68013A/dp/B00OCEEIX0/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=EZ-USB+FX2LP&qid=1556620292&s=gateway&sr=8-1
