Reference,Qty., Value,SMD/TH, Footprint,Shop URL
"P1, P4",2,CONN_02X10,COM,Pin_Header_Socker Straight_2x10,http://akizukidenshi.com/catalog/g/gC-00083/
P2,1,CONN_02X05,COM,IDC-Header_2x05_Pitch2.54mm_Straight,http://akizukidenshi.com/catalog/g/gC-12664/
D1,1,LED,COM,LEDs:LED-3MM,
D2,1,LED,COM,LEDs:LED-3MM,
D3,1,LED,COM,LEDs:LED-3MM,
D4,1,LED,COM,LEDs:LED-3MM,
C1ÅAC2,2,100u,COM,Capacitors_Elko_ThroughHole:Elko_vert_11.2x6.3mm_RM2.5_CopperClear,
P3,1,CONN_01X02,NOPOP,fdsp_pinheader:Pin_Header_Straight_1x02,Directly Jumper wire conncetion to the Ez-USB FX2LP Board 5V
"Q1, Q2",2,2N7000,TH,TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval,http://akizukidenshi.com/catalog/g/gI-13045/
R1,1,51R,TH,Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Free Size (1.6mm x 0.8mm, 2.0mm x 1.25mm, 3.2mm x 1.6mm)"
"R2, R5, R6, R7, R9",5,470R,TH,Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Free Size (1.6mm x 0.8mm, 2.0mm x 1.25mm, 3.2mm x 1.6mm)"
R8,1,1M,TH,Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Free Size (1.6mm x 0.8mm, 2.0mm x 1.25mm, 3.2mm x 1.6mm)"
"R3, R4",2,10k,TH,Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,"Free Size (1.6mm x 0.8mm, 2.0mm x 1.25mm, 3.2mm x 1.6mm)"
,,,,,
10P IDC Cable Assy.,1,-,COM,Programming Cable,http://akizukidenshi.com/catalog/g/gC-03796/
Mini USB Cable,1,-,COM,USB-A to mini-USB,http://akizukidenshi.com/catalog/g/gC-07606/
Ez-USB FX2LP Board,1,-,COM,Various Choice,https://www.amazon.co.jp/SODIAL-%E9%96%8B%E7%99%BA%E3%83%9C%E3%83%BC%E3%83%89USB2-0-EZ-USB-FX2LP-CY7C68013A/dp/B00OCEEIX0/ref=sr_1_1?__mk_ja_JP=%E3%82%AB%E3%82%BF%E3%82%AB%E3%83%8A&keywords=EZ-USB+FX2LP&qid=1556620292&s=gateway&sr=8-1
